No,Student ID,Level Cohort,Term No / Semester No,Session,GPA,CGPA,Academic Status,Academic Awards,Credit Hours Earned,Credit Hours Remaining,Credit Hours Progression
1,0030881,DECE2408,1,202408,2.76,2.76,Good Standing,,18,72,20
2,0030881,DECE2408,2,202501,2.88,2.82,Good Standing,,35,55,39
3,0030881,DECE2408,3,202506,3.13,2.87,Good Standing,,35,55,39
4,0026384,DECE1908,1,201908,2.03,2.03,Good Standing,,15,75,17
5,0026384,DECE1908,2,202001,2.58,2.22,Good Standing,,23,67,26
6,0026384,DECE1908,3,202004,2.71,2.5,Good Standing,,41,49,46
7,0026384,DECE1908,4,202008,2.09,2.37,Good Standing,,54,36,60
8,0026384,DECE1908,5,202101,2.21,2.34,Good Standing,,70,20,78
9,0026384,DECE1908,6,202105,3,2.37,Good Standing,,74,16,82
10,0026384,DECE1908,7,202108,2.78,2.47,Good Standing,,83,7,92
11,0026384,DECE1908,8,202201,2.67,2.48,Good Standing,,87,3,97
12,0026384,DECE1908,9,202205,2.67,2.53,Good Standing,,90,0,100
13,0031131,DECE2501,1,202501,2.61,2.61,Good Standing,,17,73,19
14,0031131,DECE2501,2,202506,3,2.73,Good Standing,,17,73,19
15,0029732,DECE2306,1,202306,2.79,2.79,Good Standing,,8,82,9
16,0029732,DECE2306,2,202308,3.19,3.07,Good Standing,,26,64,29
17,0029732,DECE2306,3,202401,3.61,3.28,Good Standing,Dean's List,43,47,48
18,0029732,DECE2306,4,202406,3.13,3.26,Good Standing,,51,39,57
19,0029732,DECE2306,5,202408,3.07,3.21,Good Standing,,66,24,73
20,0029732,DECE2306,6,202501,3.17,3.2,Good Standing,,82,8,91
21,0029732,DECE2306,7,202506,4,3.27,Good Standing,,82,8,91
22,0021230,DECE1404,1,201404,3.88,3.88,Good Standing,Dean's List,20,70,22
23,0021230,DECE1404,2,201408,3.81,3.85,Good Standing,Dean's List,38,52,42
24,0021230,DECE1404,3,201501,3.33,3.79,Good Standing,,42,48,47
25,0021230,DECE1404,4,201504,3.88,3.82,Good Standing,Dean's List,61,29,68
26,0021230,DECE1404,5,201508,3.88,3.84,Good Standing,Dean's List,78,12,87
27,0021230,DECE1404,6,201601,3.67,3.82,Good Standing,,86,4,96
28,0021230,DECE1404,7,201604,4,3.83,Good Standing,,90,0,100
29,0021215,DECE1401,1,201401,3.56,3.56,Good Standing,,9,81,10
30,0021215,DECE1401,2,201404,3.23,3.37,Good Standing,,27,63,30
31,0021215,DECE1401,3,201408,3.45,3.4,Good Standing,,46,44,51
32,0021215,DECE1401,4,201501,2.33,3.3,Good Standing,,50,40,56
33,0021215,DECE1401,5,201504,3.57,3.38,Good Standing,Dean's List,69,21,77
34,0021215,DECE1401,6,201508,3.73,3.46,Good Standing,Dean's List,86,4,96
35,0021215,DECE1401,7,201601,3.67,3.47,Good Standing,,90,0,100
36,0028751,DECE2205,1,202205,2.79,2.79,Good Standing,,8,82,9
37,0028751,DECE2205,2,202208,2.87,2.85,Good Standing,,28,62,31
38,0028751,DECE2205,3,202301,2.88,2.86,Good Standing,,47,43,52
39,0028751,DECE2205,4,202306,2.67,2.84,Good Standing,,51,39,57
40,0028751,DECE2205,5,202308,2.92,2.86,Good Standing,,68,22,76
41,0028751,DECE2205,6,202401,3.31,2.96,Good Standing,,86,4,96
42,0028751,DECE2205,7,202406,3.33,2.97,Good Standing,,90,0,100
43,0031297,DECE2506,1,202506,3.12,3.12,Good Standing,,0,90,0
44,0027784,DSW_PT2101,1,202101,2.56,2.56,Good Standing,,11,79,12
45,0027784,DSW_PT2101,2,202105,3,2.67,Good Standing,,16,74,18
46,0027784,DSW_PT2101,3,202108,2.46,2.58,Good Standing,,27,63,30
47,0027784,DSW_PT2101,4,202201,2.73,2.63,Good Standing,,37,53,41
48,0027784,DSW_PT2101,5,202205,4,2.79,Good Standing,,41,49,46
49,0027784,DSW_PT2101,6,202208,2.9,2.81,Good Standing,,50,40,56
