No,Student ID,Level Cohort,Term No / Semester No,Subject Code,Subject Status,Subject Status,Subject Credit Hours,Subject Marks,Subject Grade
1,0030881,DECE2408,1,AAM 4014,Completed,Active,4,59,C+
2,0030881,DECE2408,1,CLE 4063,Completed,Active,3,57,C+
3,0030881,DECE2408,1,CLE 4073,Completed,Active,3,58,C+
4,0030881,DECE2408,1,CLE 4083,Completed,Active,3,74,B+
5,0030881,DECE2408,1,ENG 4013,Completed,Active,3,68,B
6,0030881,DECE2408,1,MPU 2192,Completed,Active,2,77,A-
7,0030881,DECE2408,2,CDT 4013,Completed,Active,3,70,B+
8,0030881,DECE2408,2,CLE 4013,Completed,Active,3,55,C+
9,0030881,DECE2408,2,CLE 4023,Completed,Active,3,50,C
10,0030881,DECE2408,2,CLE 4033,Completed,Active,3,75,A-
11,0030881,DECE2408,2,CLE 4043,Completed,Active,3,56,C+
12,0030881,DECE2408,2,SER 1100,Completed,Active,2,83,A
13,0030881,DECE2408,3,CLE 4053,Completed,Active,3,60,B-
14,0030881,DECE2408,3,FAC 4013,Completed,Active,3,69,B
15,0030881,DECE2408,3,MPU 2222,Completed,Active,2,96,A+
16,0026384,DECE1908,1,CSC 1200,Completed,Active,3,56,C+
17,0026384,DECE1908,1,ECE 1100,Completed,Active,3,52,C
18,0026384,DECE1908,1,ECE 1140,Completed,Active,3,46,C-
19,0026384,DECE1908,1,EDU 1100,Completed,Active,3,52,C
20,0026384,DECE1908,1,MPU 2163,Completed,Active,3,64,P
21,0026384,DECE1908,1,PSY 1100,Completed,Active,3,55,C+
22,0026384,DECE1908,2,ECE 1110,Completed,Active,3,50,C
23,0026384,DECE1908,2,EDU 1110,Completed,Active,2,72,B+
24,0026384,DECE1908,2,PSY 1110,Completed,Active,3,61,B-
25,0026384,DECE1908,3,ECE 1140,Completed,Repeat,3,72,B+
26,0026384,DECE1908,3,EDU 1140,Completed,Active,4,62,B-
27,0026384,DECE1908,3,EDU 1150,Completed,Active,4,50,C
28,0026384,DECE1908,3,EDU 1230,Completed,Active,3,60,B-
29,0026384,DECE1908,3,ENG 1100,Completed,Active,2,73,B+
30,0026384,DECE1908,3,GEN 1120,Completed,Active,2,64,P
31,0026384,DECE1908,4,COM 1100,Completed,Active,2,62,P
32,0026384,DECE1908,4,ECE 1120,Completed,Active,3,44,D
33,0026384,DECE1908,4,ECE 1130,Completed,Active,3,65,B
34,0026384,DECE1908,4,ECE 1200,Completed,Active,3,59,C+
35,0026384,DECE1908,4,EDU 1120,Completed,Active,2,54,C
36,0026384,DECE1908,4,EDU 1210,Completed,Active,3,46,C-
37,0026384,DECE1908,4,EDU 1240,Completed,Active,3,61,B-
38,0026384,DECE1908,5,ECE 1220,Completed,Active,3,52,C
39,0026384,DECE1908,5,EDU 1130,Completed,Active,2,54,C
40,0026384,DECE1908,5,EDU 1160,Completed,Active,3,63,B-
41,0026384,DECE1908,5,EDU 1220,Completed,Active,3,54,C
42,0026384,DECE1908,5,PSY 1200,Completed,Active,3,56,C+
43,0026384,DECE1908,5,SER 1100,Completed,Active,2,74,P
44,0026384,DECE1908,6,INT 1230,Completed,Active,4,69,B
45,0026384,DECE1908,7,ECE 1120,Completed,Repeat,3,67,B
46,0026384,DECE1908,7,ECE 1210,Completed,Active,3,52,C
47,0026384,DECE1908,7,MGT 1200,Completed,Active,3,70,B+
48,0026384,DECE1908,8,INT 1240,Completed,Active,4,63,B-
49,0026384,DECE1908,9,EDU 1210,Completed,Repeat,3,61,B-
50,0031131,DECE2501,1,CDT 4013,Completed,Active,3,60,B-
51,0031131,DECE2501,1,CLE 4013,Completed,Active,3,50,C
52,0031131,DECE2501,1,CLE 4023,Completed,Active,3,50,C
53,0031131,DECE2501,1,CLE 4033,Completed,Active,3,72,B+
54,0031131,DECE2501,1,CLE 4043,Completed,Active,3,55,C+
55,0031131,DECE2501,1,SER 1100,Completed,Active,2,76,A-
56,0031131,DECE2501,2,CLE 4053,Completed,Active,3,50,C
57,0031131,DECE2501,2,FAC 4013,Completed,Active,3,70,B+
58,0031131,DECE2501,2,MPU 2222,Completed,Active,2,86,A
59,0029732,DECE2306,1,CLE 4053,Completed,Active,3,60,B-
60,0029732,DECE2306,1,FAC 4013,Completed,Active,3,66,B
61,0029732,DECE2306,1,MPU 2212,Completed,Active,2,64,B-
62,0029732,DECE2306,2,AAM 4014,Completed,Active,4,75,A-
63,0029732,DECE2306,2,CLE 4063,Completed,Active,3,63,B-
64,0029732,DECE2306,2,CLE 4073,Completed,Active,3,69,B
65,0029732,DECE2306,2,CLE 4083,Completed,Active,3,70,B+
66,0029732,DECE2306,2,ENG 4013,Completed,Active,3,67,B
67,0029732,DECE2306,2,MPU 2192,Completed,Active,2,73,B+
68,0029732,DECE2306,3,CDT 4013,Completed,Active,3,70,B+
69,0029732,DECE2306,3,CLE 4013,Completed,Active,3,80,A
70,0029732,DECE2306,3,CLE 4023,Completed,Active,3,67,B
71,0029732,DECE2306,3,CLE 4033,Completed,Active,3,93,A+
72,0029732,DECE2306,3,CLE 4043,Completed,Active,3,78,A-
73,0029732,DECE2306,3,SER 1100,Completed,Active,2,77,A-
74,0029732,DECE2306,4,CLE 4123,Completed,Active,3,62,B-
75,0029732,DECE2306,4,CLE 4133,Completed,Active,3,67,B
76,0029732,DECE2306,4,SSC 2010,Completed,Active,2,84,A
77,0029732,DECE2306,5,AAM 4023,Completed,Active,3,69,B
78,0029732,DECE2306,5,CLE 4143,Completed,Active,3,72,B+
79,0029732,DECE2306,5,CLE 4153,Completed,Active,3,65,B
80,0029732,DECE2306,5,PDT 4013,Completed,Active,3,63,B-
81,0029732,DECE2306,5,PDT 4023,Completed,Active,3,71,B+
82,0029732,DECE2306,6,CDT 4024,Completed,Active,4,75,A-
83,0029732,DECE2306,6,CDT 4033,Completed,Active,3,69,B
84,0029732,DECE2306,6,CLE 4093,Completed,Active,3,66,B
85,0029732,DECE2306,6,CLE 4103,Completed,Active,3,68,B
